code,commercial_item_code,attribute_code,source_text,notes
spring_type2_charging_cable_option__charging_connector_type,spring_type2_charging_cable_option,charging_connector_type,"Przewód ładowania ze złączem typu 2 (do ładowania z terminali domowych typu Wallbox i terminali publicznych)","The commercial-item name and source text preserve the Type 2 cable value; no vehicle-inlet scalar observation is inferred."
spring_techno_package__navigation_system,spring_techno_package,navigation_system,"Pakiet Techno: Media Nav Live z ekranem dotykowym 10,1""; nawigacja online z informacjami o ruchu drogowym w czasie rzeczywistym; kamera cofania; 2 porty USB; przewodowa i bezprzewodowa replikacja ekranu smartfonów",
spring_techno_package__live_traffic_information,spring_techno_package,live_traffic_information,"Pakiet Techno: Media Nav Live z ekranem dotykowym 10,1""; nawigacja online z informacjami o ruchu drogowym w czasie rzeczywistym; kamera cofania; 2 porty USB; przewodowa i bezprzewodowa replikacja ekranu smartfonów",
spring_techno_package__touchscreen,spring_techno_package,touchscreen,"Pakiet Techno: Media Nav Live z ekranem dotykowym 10,1""; nawigacja online z informacjami o ruchu drogowym w czasie rzeczywistym; kamera cofania; 2 porty USB; przewodowa i bezprzewodowa replikacja ekranu smartfonów",
spring_techno_package__infotainment_screen_size,spring_techno_package,infotainment_screen_size,"Pakiet Techno: Media Nav Live z ekranem dotykowym 10,1""; nawigacja online z informacjami o ruchu drogowym w czasie rzeczywistym; kamera cofania; 2 porty USB; przewodowa i bezprzewodowa replikacja ekranu smartfonów","The exact 10.1-inch value remains in source_text; this membership does not create a scalar configuration value."
spring_techno_package__rear_view_camera,spring_techno_package,rear_view_camera,"Pakiet Techno: Media Nav Live z ekranem dotykowym 10,1""; nawigacja online z informacjami o ruchu drogowym w czasie rzeczywistym; kamera cofania; 2 porty USB; przewodowa i bezprzewodowa replikacja ekranu smartfonów",
spring_techno_package__usb_ports_count,spring_techno_package,usb_ports_count,"Pakiet Techno: Media Nav Live z ekranem dotykowym 10,1""; nawigacja online z informacjami o ruchu drogowym w czasie rzeczywistym; kamera cofania; 2 porty USB; przewodowa i bezprzewodowa replikacja ekranu smartfonów","The exact count of two remains in source_text; this membership does not create a scalar configuration value."
spring_techno_package__wireless_smartphone_replication,spring_techno_package,wireless_smartphone_replication,"Pakiet Techno: Media Nav Live z ekranem dotykowym 10,1""; nawigacja online z informacjami o ruchu drogowym w czasie rzeczywistym; kamera cofania; 2 porty USB; przewodowa i bezprzewodowa replikacja ekranu smartfonów",
spring_dc40_charging_option__dc_charging_supported,spring_dc40_charging_option,dc_charging_supported,Układ szybkiego ładowania prądem stałym DC 40 kW (gniazdo CCS),
spring_dc40_charging_option__dc_charging_power_max,spring_dc40_charging_option,dc_charging_power_max,Układ szybkiego ładowania prądem stałym DC 40 kW (gniazdo CCS),"The exact 40 kW value remains in the item name and source_text; no unconditional scalar configuration value is created."
spring_dc40_charging_option__charging_connector_type,spring_dc40_charging_option,charging_connector_type,Układ szybkiego ładowania prądem stałym DC 40 kW (gniazdo CCS),"The exact CCS value remains in the item name and source_text; no unconditional scalar configuration value is created."
spring_power_package__dc_charging_supported,spring_power_package,dc_charging_supported,"Pakiet Power: szybka ładowarka DC Combo 40 kW, funkcja ładowania dwukierunkowego V2L",
spring_power_package__dc_charging_power_max,spring_power_package,dc_charging_power_max,"Pakiet Power: szybka ładowarka DC Combo 40 kW, funkcja ładowania dwukierunkowego V2L","The exact 40 kW value remains in source_text; no unconditional scalar configuration value is created."
spring_power_package__charging_connector_type,spring_power_package,charging_connector_type,"Pakiet Power: szybka ładowarka DC Combo 40 kW, funkcja ładowania dwukierunkowego V2L","The exact Combo/CCS connector wording remains in source_text; no unconditional scalar configuration value is created."
spring_power_package__vehicle_to_load,spring_power_package,vehicle_to_load,"Pakiet Power: szybka ładowarka DC Combo 40 kW, funkcja ładowania dwukierunkowego V2L","The same brochure also lists V2L among Extreme standard equipment; both direct statements are preserved without resolving the source inconsistency."
spring_city_package__front_parking_sensors,spring_city_package,front_parking_sensors,Pakiet City: czujniki parkowania z przodu + system nawigacji Media Nav Live z funkcjami online,
spring_city_package__navigation_system,spring_city_package,navigation_system,Pakiet City: czujniki parkowania z przodu + system nawigacji Media Nav Live z funkcjami online,
spring_city_package__live_traffic_information,spring_city_package,live_traffic_information,Pakiet City: czujniki parkowania z przodu + system nawigacji Media Nav Live z funkcjami online,
