model_id,source_name,finish_source,brochure_availability_text,price_state,price_pln,price_scope,identity_state,current_document_state,unresolved_reason
spring,Czerwony Brick,niemetalizowany,,unresolved,,,source_label_preserved,current_MY26_range_price_list_absent,No exact current MY26 grade/powertrain price row is captured.
spring,Szary Diamond,metalizowany,,unresolved,,,source_label_preserved,current_MY26_range_price_list_absent,No exact current MY26 grade/powertrain price row is captured.
spring,Niebieski Stonewash,niemetalizowany,,unresolved,,,source_label_preserved,current_MY26_range_price_list_absent,No exact current MY26 grade/powertrain price row is captured.
spring,Biel Alpejska,niemetalizowany,,exact_current_selected_state,0,spring_essential_electric70_automatic,source_label_preserved,current_MY26_range_price_list_absent,Expression and Extreme choice lists remain uncaptured.
spring,Seafoam,niemetalizowany,,unresolved,,,source_label_preserved,current_MY26_range_price_list_absent,No exact current MY26 grade/powertrain price row is captured.
spring,Lichen Khaki,niemetalizowany,,lexical_variant_candidate_to_exact_current_row,,Exact current source label is 'Khaki lichen' at 2300 PLN on Essential.,not_normalized_due_word_order_difference,current_MY26_range_price_list_absent,The brochure label is not silently equated to the reversed current source label; Expression and Extreme remain unresolved.
sandero,Piaskowy Sandstone,metalizowany,,unresolved,,,source_label_preserved,current_2026-07-03_combined_price_list_registered_colour_table_not_normalized,"Named July price and powertrain compatibility mapping has not been extracted; selected saved states use 'Biel alpejska', not the brochure label 'Biały Glacier'."
sandero,Szary Schist,metalizowany,niedostępny w essential,unresolved,,,source_label_preserved,current_2026-07-03_combined_price_list_registered_colour_table_not_normalized,"Named July price and powertrain compatibility mapping has not been extracted; selected saved states use 'Biel alpejska', not the brochure label 'Biały Glacier'."
sandero,Biały Glacier,niemetalizowany,,unresolved,,,source_label_preserved,current_2026-07-03_combined_price_list_registered_colour_table_not_normalized,"Named July price and powertrain compatibility mapping has not been extracted; selected saved states use 'Biel alpejska', not the brochure label 'Biały Glacier'."
sandero,Niebieski Iron,metalizowany,niedostępny w essential,unresolved,,,source_label_preserved,current_2026-07-03_combined_price_list_registered_colour_table_not_normalized,"Named July price and powertrain compatibility mapping has not been extracted; selected saved states use 'Biel alpejska', not the brochure label 'Biały Glacier'."
sandero,Szary Urban,metalizowany,niedostępny w essential,unresolved,,,source_label_preserved,current_2026-07-03_combined_price_list_registered_colour_table_not_normalized,"Named July price and powertrain compatibility mapping has not been extracted; selected saved states use 'Biel alpejska', not the brochure label 'Biały Glacier'."
sandero,Zielony Cedar,metalizowany,niedostępny w essential,unresolved,,,source_label_preserved,current_2026-07-03_combined_price_list_registered_colour_table_not_normalized,"Named July price and powertrain compatibility mapping has not been extracted; selected saved states use 'Biel alpejska', not the brochure label 'Biały Glacier'."
