id,code,commercial_item_code,attribute_code,source_text,notes
1,sandero_rear_view_camera_option__rear_view_camera,sandero_rear_view_camera_option,rear_view_camera,Kamera cofania,
2,sandero_media_nav_live_option__navigation_system,sandero_media_nav_live_option,navigation_system,Nowy Media Nav Live: nawigacja on-line z 8-letnią subskrypcją,
3,sandero_glass_sunroof_option__glass_sunroof,sandero_glass_sunroof_option,glass_sunroof,"Elektrycznie otwierany, szklany dach",
4,sandero_comfort_auto_package__automatic_climate_control,sandero_comfort_auto_package,automatic_climate_control,klimatyzacja automatyczna,
5,sandero_comfort_auto_package__keyless_entry,sandero_comfort_auto_package,keyless_entry,bezkluczykowy dostęp Keyless Entry,
6,sandero_thermo_package__automatic_climate_control,sandero_thermo_package,automatic_climate_control,Klimatyzacja automatyczna,
7,sandero_thermo_package__heated_front_seats,sandero_thermo_package,heated_front_seats,Fotele przednie podgrzewane,
8,sandero_winter_package__heated_front_seats,sandero_winter_package,heated_front_seats,przednie fotele podgrzewane,
9,sandero_winter_package__heated_steering_wheel,sandero_winter_package,heated_steering_wheel,podgrzewana kierownica,
10,sandero_media_nav_live_package__navigation_system,sandero_media_nav_live_package,navigation_system,System multimedialny Nowy Media Nav z nawigacją on-line,
11,sandero_media_nav_live_package__wireless_charging,sandero_media_nav_live_package,wireless_charging,ładowarka indukcyjna,
12,sandero_easy_package__side_mirrors_electric_adjustment,sandero_easy_package,side_mirrors_electric_adjustment,lusterka elektrycznie sterowane,
13,sandero_easy_package__side_mirrors_heated,sandero_easy_package,side_mirrors_heated,lusterka podgrzewane,
14,sandero_easy_package__side_mirrors_folding,sandero_easy_package,side_mirrors_folding,lusterka składane elektrycznie,
15,sandero_easy_package__high_beam_assist,sandero_easy_package,high_beam_assist,funkcja automatycznej zmiany świateł drogowych na mijania (AHL),
16,sandero_easy_package__360_camera_system,sandero_easy_package,360_camera_system,system Multiview kamera,
17,duster_media_nav_live_option__navigation_system,duster_media_nav_live_option,navigation_system,Nowy system Media Nav Live: nawigacja on-line,
18,duster_winter_expression_journey_package__heated_front_seats,duster_winter_expression_journey_package,heated_front_seats,przednie fotele podgrzewane,
19,duster_winter_expression_journey_package__heated_steering_wheel,duster_winter_expression_journey_package,heated_steering_wheel,kierownica podgrzewana,
20,duster_winter_expression_journey_package__driver_seat_lumbar_adjustment,duster_winter_expression_journey_package,driver_seat_lumbar_adjustment,fotel kierowcy z regulacją lędźwiową,
21,duster_winter_expression_journey_package__passenger_seat_adjustment,duster_winter_expression_journey_package,passenger_seat_adjustment,fotel pasażera z regulacją wysokości,
22,duster_winter_extreme_package__heated_front_seats,duster_winter_extreme_package,heated_front_seats,przednie fotele podgrzewane,
23,duster_winter_extreme_package__heated_steering_wheel,duster_winter_extreme_package,heated_steering_wheel,kierownica podgrzewana,
24,duster_winter_plus_extreme_package__heated_front_seats,duster_winter_plus_extreme_package,heated_front_seats,przednie fotele podgrzewane,
